Year,Arnoglossus laterna,Citharus linguatula,Dicologlossa cuneata,Lepidorhombus whiffiagonis,Platichthys flesus,Pleuronectiformes,Scophthalmidae,Scophthalmus rhombus,Soleidae,Total
1950,0,0,100,200,0,2600,0,0,0,2900
1951,0,0,0,100,0,3200,0,0,0,3300
1952,0,0,0,100,0,2900,0,0,0,3000
1953,0,0,100,100,0,2600,0,0,0,2800
1954,0,0,0,100,0,2600,0,0,0,2700
1955,0,0,0,100,0,1900,0,0,0,2000
1956,0,0,0,100,0,2100,0,0,0,2200
1957,0,0,0,100,0,800,0,0,0,900
1958,0,0,0,100,0,1300,0,0,0,1400
1959,0,0,0,100,0,1500,0,0,0,1600
1960,0,0,0,100,0,1100,0,0,0,1200
1961,0,0,0,100,0,1400,0,0,0,1500
1962,0,0,0,0,0,2200,0,0,0,2200
1963,0,0,0,0,0,3000,0,0,0,3000
1964,0,0,0,0,0,4100,0,0,0,4100
1965,0,0,0,0,0,3200,0,0,0,3200
1966,0,0,0,0,0,2300,0,0,0,2300
1967,0,0,0,100,100,2100,600,0,0,2900
1968,0,0,0,0,0,1700,900,0,0,2600
1969,0,0,400,200,0,1400,800,0,0,2800
1970,0,0,0,0,137,1946,1135,0,0,3218
1971,0,0,0,0,142,1823,1374,0,0,3339
1972,0,0,0,100,103,1340,1037,0,0,2580
1973,0,0,0,400,100,920,798,0,0,2218
1974,0,0,0,160,77,998,1107,0,0,2342
1975,0,0,0,96,118,1126,1012,0,0,2352
1976,0,0,0,138,71,1582,1380,0,0,3171
1977,0,0,0,145,56,1246,1640,0,0,3087
1978,0,0,0,119,44,1330,1416,0,0,2909
1979,0,0,0,78,32,2023,1331,0,0,3464
1980,0,0,0,47,83,2651,1154,0,0,3935
1981,0,0,0,58,14,2388,938,0,0,3398
1982,0,0,0,62,16,2525,1213,0,0,3816
1983,0,0,0,79,7,2549,1608,0,0,4243
1984,0,0,0,80,12,1990,1402,0,0,3484
1985,0,0,0,123,2,2222,1308,0,0,3655
1986,0,0,0,33,0,2606,1716,0,0,4355
1987,0,0,0,46,0,3204,1831,0,0,5081
1988,0,0,0,98,364,1303,1988,0,0,3753
1989,0,0,0,300,564,1828,1485,0,0,4177
1990,0,0,0,298,507,1388,1388,0,0,3581
1991,0,0,0,379,121,1857,1058,0,0,3415
1992,0,0,0,353,80,1178,1766,0,0,3377
1993,0,0,0,343,78,2220,1288,0,0,3929
1994,0,0,0,273,74,1996,1213,0,0,3556
1995,0,0,0,227,28,1411,1923,0,0,3589
1996,0,0,0,286,35,2335,1377,18,0,4051
1997,0,0,0,295,50,3139,964,20,0,4468
1998,0,0,0,118,69,3102,528,22,0,3839
1999,0,0,0,108,62,3475,478,24,18,4165
2000,0,16,0,202,62,2052,643,26,14,3015
2001,0,27,0,205,36,2182,622,26,12,3110
2002,0,36,0,190,36,1572,482,30,18,2364
2003,0,53,0,166,16,1136,610,27,14,2022
2004,0,68,7,218,48,1605,561,59,19,2585
2005,0,51,2,191,322,2038,445,55,529,3633
2006,0,26,3,199,223,1733,749,53,91,3077
2007,0,30,5,197,195,843,1179,36,53,2538
2008,0,51,3,210,184,827,916,33,35,2259
2009,0,51,2,250,262,802,794,37,62,2260
2010,0,2,1,227,229,818,848,40,57,2222
2011,0,5,2,235,122,706,686,48,49,1853
2012,0,12,5,123,139,364,601,37,61,1342
2013,0,41,43,94,150,274,759,45,66,1472
2014,0,29,17,108,64,300,753,46,86,1403
2015,447,170,7,226,75,567,61,135,96,1784
2016,479,244,4,215,49,681,42,116,39,1869
2017,169,97,4,251,54,765,13,94,107,1554
2018,403,167,2,273,62,994,64,73,89,2127
